ID,FULLNAME,POS,AGE,GP,MPG,MINPER,USG,TOr,FTA,FTPER,2PA,2PPER,THRPA,THRPER,PPG,POINTS,RPG,APG,SPG,BPG,TOPG,TEAM,TRUE,Height,Weight,ORTG,DRTG
1,Aaron Brooks,SG,25,15,18.6,38.8,14.5,0.087,,,50,0.46,,,5.1,76.5,2.5,1.2,0.13,0.2,0.53,Orl,45.38443284,72,161,103.1,100.4
2,Aaron Gordon,SF,22,58,32.9,68.6,24.7,0.1,225,0.698,523,0.497,342,0.336,17.6,1020.8,7.9,2.3,1.02,0.78,1.84,Orl,52.94605809,81,220,103.6,106.2
3,Aaron Harrison,SG,22,26,12.39230769,25.81730769,15.33076923,0.089423077,,,50,0.36006,40,0.3003,3.442307692,89.49999999,1.288461538,0.480769231,0.384615385,0.038461538,0.384615385,Tor,44.89365971,78,210,87.9,100.8
4,Aaron Jackson,SG,24,23,14.7,30.6,12.5,0.053,,,51,0.431,34,0.412,4.1,94.3,1.6,0.7,0.57,0.04,0.22,Ind,52.48219056,75,183,91.3,101.6
5,Abdel Nader,SF,24,48,10.9,22.6,17.1,0.17,39,0.59,84,0.321,65,0.354,3,144,1.5,0.5,0.31,0.21,0.71,Bos,43.33172845,78,230,83.1,99.1
6,Adreian Payne,PG,22,16,8.7625,18.25520833,29.4375,0.17725,,,51,0.333,,,3.5375,56.6,1.125,1.225,0.18375,0.06125,0.99875,Det,37.59298618,82,237,140.6,97.1
7,Al Horford,C,31,72,31.6,65.9,18.4,0.141,120,0.783,527,0.514,226,0.429,12.9,928.8,7.4,4.7,0.6,1.08,1.83,Bos,57.63216679,82,245,115.4,100.4
8,Al Jefferson,C,33,36,13.4,28,22.6,0.086,36,0.833,205,0.541,,,7,252,4,0.8,0.44,0.64,0.58,Ind,56.29020729,82,280,112.9,93.9
9,Alan Williams,SF,25,20,18.9,39.4,15.7,0.144,,,51,0.431,58,0.328,5.4,108,1.9,1.1,1.55,0.3,0.95,Mem,47.61904762,80,265,86.2,90.5
10,Alec Burks,SG,26,64,16.5,34.5,22.5,0.114,124,0.863,272,0.452,142,0.331,7.7,492.8,3,1,0.58,0.13,0.94,Uta,52.58664845,78,214,102,99.2
11,Alec Peters,PF,20,27,7,14.6,19.9,0.209,,,52,0.442,,,2.3,62.1,2,0.5,0.19,0.11,0.67,Por,45.7155477,81,235,111.4,111.8
12,Alex Abrines,SG,24,75,15.1,31.5,12.7,0.074,46,0.848,70,0.443,221,0.38,4.7,352.5,1.5,0.4,0.51,0.11,0.33,Okc,56.62832541,78,190,115.7,100.9
13,Alex Caruso,SG,23,37,15.2,31.6,12.9,0.245,30,0.7,73,0.507,43,0.302,3.6,133.2,1.8,2,0.65,0.24,1.14,Lal,51.54798762,77,186,98,102.6
14,Alex Len,C,24,69,20.2,42.1,17,0.14,231,0.684,375,0.568,,,8.5,586.5,7.5,1.2,0.39,0.88,1.13,Pho,61.1396047,85,250,121.2,101.9
15,Alex Poythress,PF,25,33,7.7,16,16.1,0.108,,,52,0.673,,,3.4,112.2,2.1,0.5,0.21,0,0.3,Por,67.72090777,81,235,108,96.4
16,Al-Farouq Aminu,SF,27,69,30,62.6,14.8,0.113,80,0.738,243,0.432,339,0.369,9.3,641.7,7.6,1.2,1.14,0.58,1.14,Por,51.98476993,81,220,105.2,100.5
17,Alfonzo McKinnie,SG,29,58,12.47413793,25.98778736,7.965517241,0.154551724,,,53,0.396207547,53,0.358924528,1.706896552,99.00000002,1.320689655,0.853448276,0.637241379,0.240862069,0.345517241,Nor,45.74861369,80,215,,
18,Allen Crabbe,SG,25,75,29.3,61,19,0.08,135,0.852,295,0.461,532,0.378,13.2,990,4.3,1.6,0.63,0.48,1.03,Bro,55.84386282,78,215,107.9,106.6
19,Amir Johnson,PF,30,74,15.8,33,12.8,0.156,85,0.612,228,0.57,32,0.313,4.6,340.4,4.5,1.6,0.61,0.59,0.74,Phi,57.22932078,81,240,120.2,90.2
20,Andre Drummond,C,24,78,33.7,70.1,21.2,0.159,395,0.605,870,0.536,,,15,1170,16,3,1.46,1.63,2.56,Det,55.46075085,83,279,112.8,94.2
21,Andre Iguodala,SF,34,64,25.4,52.8,11.5,0.158,87,0.632,203,0.567,117,0.282,6,384,3.8,3.3,0.84,0.59,1.05,Gol,53.58937144,78,215,113,106.5
22,Andre Ingram,PF,24,21,21.3,44.5,15.1,0.141,,,54,0.481,67,0.299,5.9,123.9,3.6,1.2,0.48,0.19,1,Dal,48.55015674,75,190,123.9,107.4
23,Andre Roberson,SF,26,39,26.6,55.4,8.6,0.144,38,0.316,126,0.627,36,0.222,5,195,4.7,1.2,1.15,0.9,0.77,Okc,54.55461056,79,210,113.4,102
24,Andrew Bogut,SG,24,41,12.79268293,26.65142276,15.4,0.168292683,,,54,0.370777778,100,0.39996,4.456097561,182.7,1.565853659,0.968292683,0.217560976,0.093902439,0.635853659,Bro,54.77932358,84,260,105.9,90.1
25,Andrew Harrison,SG,23,56,23.7,49.3,19.6,0.14,159,0.78,287,0.467,142,0.331,9.5,532,2.3,3.2,0.68,0.46,1.45,Mem,53.31088664,78,213,106.7,105.6
26,Andrew White III,SG,23,16,18.1,37.7,18.8,0.081,,,55,0.4,52,0.25,6,96,1.7,1.1,0.19,0.19,0.63,Orl,42.25352113,79,210,88,108.8
27,Andrew Wiggins,SF,22,82,36.3,75.7,23.4,0.088,314,0.643,962,0.475,338,0.331,17.7,1451.4,4.4,2,1.11,0.62,1.68,Min,50.4603104,80,202,101.2,109.5
28,Ante Zizic,SF,28,50,14.282,29.75416667,15.06,0.078,,,59,0.525559322,156,0.384173077,5.164,258.2,1.94,0.622,0.1614,0.1426,0.384,Mia,57.45949795,83,250,137.8,99.9
29,Anthony Brown,SG,29,11,30.3,63.2,19.6,0.165,,,59,0.407,60,0.4,12.2,134.2,4.1,2.9,1.64,0.45,2.27,Lac,53.05186591,79,224,,
30,Anthony Davis,PF,24,75,36.4,75.8,30,0.086,598,0.828,1300,0.558,162,0.34,28.1,2107.5,11.1,2.3,1.53,2.57,2.16,Nor,61.08270729,82,253,119.3,102.7
31,Anthony Tolliver,PF,32,79,22.2,46.3,14.8,0.099,131,0.802,107,0.561,365,0.436,8.9,703.1,3.1,1.1,0.41,0.27,0.73,Det,66.37527377,80,240,125.9,103.2
32,Antonio Blakeney,SG,21,19,16.5,34.4,23.7,0.064,39,0.769,91,0.418,52,0.288,7.9,150.1,1.7,1.1,0.37,0.05,0.58,Chi,46.85939061,76,197,96.4,109.6
33,Antonius Cleveland,C,25,49,8.5,17.8,11.4,0.148,,,61,0.721,,,2.5,122.5,1.8,0.4,0.47,0.88,0.33,Tor,66.34532062,78,195,70.7,95.6
34,Aron Baynes,C,31,81,18.3,38.2,16.9,0.143,78,0.756,425,0.487,,,6,486,5.3,1.1,0.27,0.63,0.99,Bos,50.59127249,82,260,103.2,91.8
35,Arron Afflalo,PF,23,18,13.3,27.7,17.5,0.167,,,63,0.492,,,4.4,79.2,2.3,0.9,0.11,0.22,0.89,Nyk,49.54954955,77,210,98.8,108.1
36,Austin Rivers,SG,25,61,33.7,70.2,20.7,0.111,159,0.642,445,0.461,360,0.378,15.1,921.1,2.4,4,1.21,0.26,1.79,Lac,52.63669196,76,200,105.5,107.7
37,Avery Bradley,SG,27,46,31.15217391,64.90036232,23.39565217,0.131956522,82,0.768780488,422,0.436080569,203,0.369029557,14.24347826,655.2,2.569565217,2.060869565,1.10826087,0.178695652,2.199565217,Lac,49.55527319,74,180,92.4,105.5
38,Bam Adebayo,PF,20,69,19.8,41.3,15.9,0.136,179,0.721,333,0.523,,,6.9,476.1,5.5,1.5,0.46,0.59,0.96,Mia,56.84640367,82,255,116.7,98.3
39,Ben McLemore,SG,24,56,19.5,40.6,19,0.132,64,0.828,214,0.477,159,0.346,7.5,420,2.5,0.9,0.68,0.27,1.09,Mem,52.34819025,77,195,98.9,101.9
40,Ben Moore,PF,23,39,13.3,27.7,14.8,0.08,,,63,0.556,89,0.36,4.7,183.3,3.3,0.7,0.23,0.1,0.36,Atl,56.84073431,80,220,,66.8
41,Ben Simmons,PG,21,81,33.7,70.3,22.3,0.195,341,0.56,987,0.551,,,15.8,1279.8,8.1,8.2,1.73,0.86,3.43,Phi,55.73847601,82,230,110.5,98.7
42,Bismack Biyombo,C,25,82,18.2,38,14.9,0.166,157,0.65,351,0.521,,,5.7,467.4,5.7,0.8,0.26,1.16,1.02,Orl,55.50014249,81,255,108.7,101.2
43,Blake Griffin,PF,28,58,33.93965517,70.70761494,28.91206897,0.126275862,330,0.784663636,674,0.48170178,322,0.344515528,21.39310345,1240.8,7.339655172,5.744827586,0.707413793,0.308793103,2.844827586,Det,54.36382755,82,251,110.1,105
44,Boban Marjanovic,C,29,39,8.641025641,18.00213675,29.3025641,0.156358974,97,0.79356701,148,0.533918919,,,6.046153846,235.8,3.717948718,0.546153846,0.256153846,0.284102564,0.924102564,Lac,61.83134046,87,290,107.1,90
45,Bobby Brown,PF,23,23,12.4,25.7,17.1,0.166,,,66,0.561,,,4,92,3.6,0.4,0.26,0.43,0.78,Mia,50.90748119,74,175,82.8,105.3
46,Bobby Portis,PF,22,73,22.5,46.9,26,0.105,156,0.769,588,0.514,223,0.359,13.2,963.6,6.8,1.7,0.67,0.32,1.41,Chi,54.77240689,83,248,108.2,104.3
47,Bogdan Bogdanovic,SG,25,78,27.9,58.1,19.6,0.132,119,0.84,443,0.485,329,0.392,11.8,920.4,2.9,3.3,0.92,0.21,1.6,Sac,55.82512495,78,205,107.4,107.9
48,Bojan Bogdanovic,SF,28,80,30.8,64.2,18.9,0.1,205,0.868,466,0.534,386,0.402,14.3,1144,3.4,1.5,0.69,0.1,1.31,Ind,60.70897899,80,230,114.7,108.2
49,Bradley Beal,SG,24,82,36.3,75.6,27.6,0.115,369,0.791,954,0.507,530,0.375,22.6,1853.2,4.4,4.5,1.18,0.44,2.61,Was,56.28173668,77,207,109.4,107.6
50,Brandan Wright,PF,30,28,13.56428571,28.25892857,14.67857143,0.063642857,33,0.636,102,0.578676471,,,4.964285714,139,3.35,0.482142857,0.462857143,0.9325,0.289285714,Mem,59.64641263,82,235,124,105.2
51,Brandon Ingram,SF,20,59,33.5,69.7,22.2,0.144,282,0.681,656,0.483,105,0.39,16.1,949.9,5.3,3.9,0.76,0.73,2.53,Lal,53.66181588,81,190,103.6,103.7
52,Brandon Jennings,PF,21,32,6.7,14,18.7,0.121,,,67,0.731,,,3.7,118.4,1.9,0.2,0.06,0.41,0.34,Cle,74.222668,73,170,98.9,109.1
53,Brandon Paul,SG,26,64,9,18.7,13.6,0.166,43,0.512,73,0.548,54,0.278,2.3,147.2,1.1,0.6,0.39,0.11,0.45,San,50.43859649,76,200,93.8,97.4
54,Briante Weber,SF,26,69,14.2,29.6,9.5,0.12,,,67,0.403,115,0.287,2.3,158.7,2.3,0.3,0.22,0.62,0.38,Okc,41.58805031,74,165,106.8,89.9
55,Brice Johnson,PG,22,16,11.2,23.4,28.5,0.203,,,68,0.485,,,6.3,100.8,1.6,1.3,0.5,0.13,1.5,Bro,53.41246291,82,230,102.6,82.5
56,Brook Lopez,C,29,74,23.4,48.8,23.5,0.102,158,0.703,468,0.549,325,0.345,13,962,4,1.7,0.39,1.32,1.32,Lal,55.7668228,84,268,108,100.8
57,Bruno Caboclo,PF,22,11,16,33.3,24.9,0.093,,,69,0.565,,,8.7,95.7,4.5,0.6,0.27,0.18,0.82,Dal,54.79844251,81,205,,
58,Bryn Forbes,SG,24,80,19,39.5,16.7,0.065,72,0.667,269,0.446,228,0.39,6.9,552,1.4,1,0.35,0.03,0.46,San,52.20549293,75,190,105.7,103.4
59,Buddy Hield,SG,24,80,25.3,52.7,24.3,0.113,81,0.877,525,0.457,408,0.431,13.5,1080,3.8,1.9,1.06,0.28,1.55,Sac,55.74826561,76,214,104.9,106.9
60,C.J. Williams,SG,29,7,27.5,57.3,29.9,0.125,,,70,0.457,32,0.594,20.1,140.7,3.1,3.6,1.57,0.43,2.29,Mem,62.74527292,77,230,104.6,105.5
61,Caleb Swanigan,SF,24,22,15.6,32.6,12.5,0.083,,,71,0.549,,,4.7,103.4,3.5,0.4,0.36,1,0.36,Sac,58.72330759,80,250,88.1,86.9
62,Cameron Payne,PG,27,38,18.7,39,13.5,0.23,,,74,0.351,78,0.372,4.3,163.4,1.7,3.8,0.37,0,1.29,Mil,49.85355138,75,185,104.8,106.4
63,Caris LeVert,SG,23,71,26.2,54.7,22.5,0.158,187,0.711,490,0.48,245,0.347,12.1,859.1,3.7,4.2,1.15,0.31,2.15,Bro,52.55848669,79,203,102.9,104.9
64,Carmelo Anthony,SF,33,78,32.1,66.8,23.2,0.073,193,0.767,695,0.436,474,0.357,16.2,1263.6,5.8,1.3,0.6,0.63,1.27,Okc,50.38598954,80,240,103.6,102.9
65,Cedi Osman,SF,22,61,11,23,15.7,0.134,46,0.565,99,0.586,87,0.368,3.9,237.9,2,0.7,0.36,0.05,0.52,Cle,57.67552366,80,215,107.9,101.7
66,Chandler Parsons,SG,36,22,12.4,25.8,18.9,0.159,,,79,0.506,,,4.7,103.4,2.1,0.4,0.5,0.14,0.86,Nor,51.57621708,82,230,110.1,108.1
67,Channing Frye,C,31,33,8.6,18,21.7,0.114,,,83,0.494,32,0.125,3.4,112.2,1.6,0.4,0.09,0.39,0.48,Was,45.1545396,83,255,115.2,102.6
68,Charles Cooke,PF,21,38,8.7,18,23.8,0.102,,,86,0.384,60,0.333,4,152,2.1,0.5,0.13,0,0.47,Det,47.87100025,77,196,,
69,Cheick Diallo,PF,21,52,11.2,23.3,17.3,0.116,66,0.758,176,0.58,,,4.9,254.8,4,0.4,0.21,0.4,0.52,Nor,62.13421771,81,220,118.8,94
70,Chinanu Onuaku,SG,32,53,12.9,26.8,12.5,0.108,,,92,0.413,70,0.386,3.4,180.2,1.2,0.6,0.08,0.17,0.4,Orl,51.94880074,82,245,62.6,91.7
71,Chris Boucher,SG,25,15,27,56.2,19.3,0.078,,,92,0.511,60,0.25,10.7,160.5,4.7,1.9,1.27,0.07,0.93,Atl,48.70721049,82,200,,
72,Chris McCullough,SG,23,44,10.8,22.4,17.3,0.09,,,93,0.538,68,0.324,4.1,180.4,1.9,0.7,0.27,0.05,0.39,Nyk,52.71154745,81,215,104.5,102.8
73,Chris Paul,PG,32,58,31.8,66.3,24.5,0.125,221,0.919,419,0.532,379,0.38,18.6,1078.8,5.4,7.9,1.67,0.22,2.21,Hou,60.25199946,72,175,126.1,99.6
74,CJ McCollum,SG,26,81,36.1,75.2,26.5,0.086,250,0.836,1029,0.465,476,0.397,21.4,1733.4,4,3.4,0.95,0.43,1.86,Por,53.66563467,75,190,108.4,105.4
75,CJ Miles,SF,30,70,19.1,39.8,22.3,0.057,97,0.835,145,0.434,454,0.361,10,700,2.2,0.8,0.53,0.3,0.56,Tor,54.54432116,78,225,108.7,100.7
76,Clint Capela,C,23,74,27.5,57.3,19.4,0.115,257,0.56,675,0.653,,,13.9,1028.6,10.8,0.9,0.78,1.86,1.39,Hou,65.17716835,82,240,126.6,96.4
77,Cody Zeller,PF,25,33,19,39.6,15.7,0.146,85,0.718,153,0.542,,,7.1,234.3,5.4,0.9,0.42,0.64,1,Cha,60.57394002,84,240,119.6,97.2
78,Cole Aldrich,PF,20,53,8.7,18.1,14.9,0.065,,,94,0.489,42,0.429,2.9,153.7,1.5,0.2,0.09,0.08,0.19,Ind,53.72623043,83,253,,
79,Corey Brewer,SF,31,72,16.825,35.05208333,14.225,0.13825,90,0.722466667,206,0.53888835,110,0.281627273,5.3,381.6,2.125,0.925,1.0975,0.195,0.6775,Okc,53.65579303,81,186,97,98.4
80,Cory Joseph,SG,26,82,27,56.1,14.8,0.12,94,0.745,413,0.458,190,0.353,7.9,647.8,3.2,3.2,0.98,0.23,1.07,Ind,50.26693153,75,190,105.8,105.9
81,Courtney Lee,SG,32,76,30.4,63.3,16.9,0.094,124,0.919,477,0.482,278,0.406,12,912,2.9,2.4,1.05,0.22,1.11,Nyk,56.32689362,77,200,112.1,111.2
82,Cristiano Felicio,C,25,55,17.8,37,13.6,0.177,81,0.667,213,0.596,,,5.6,308,4.2,1,0.29,0.2,0.98,Chi,61.44270667,81,280,114.8,103.4
83,D.J. Augustin,PG,30,75,23.5,48.9,18.6,0.164,189,0.868,268,0.485,272,0.419,10.2,765,2.1,3.8,0.71,0,1.63,Orl,61.38070479,72,183,116.4,110.3
84,D.J. Wilson,C,35,26,13.6,28.3,14.4,0.11,,,95,0.505,,,4.4,114.4,4.6,0.3,0.31,0.96,0.5,Nor,54.64272067,82,236,,
85,Dakari Johnson,C,34,53,13.13018868,27.35455975,15.29433962,0.086981132,,,97,0.670453608,115,0.338869565,4.969811321,263.4,2.550943396,0.68490566,0.34245283,0.261509434,0.398490566,Lal,59.76583772,84,255,126.8,93.2
86,Damian Jones,SF,20,27,19.8,41.3,15,0.148,,,99,0.394,46,0.348,5.4,145.8,3.7,0.7,1.22,1.11,1,Orl,46.73076923,84,245,99,97.8
87,Damian Lillard,PG,27,73,36.6,76.2,30.6,0.111,538,0.916,786,0.501,629,0.361,26.9,1963.7,4.5,6.6,1.05,0.37,2.82,Por,59.44409464,75,195,120.3,106.5
88,Damien Wilkins,PF,23,30,15.7,32.8,13.8,0.181,,,104,0.529,,,4.4,132,5.6,0.7,1.03,0.73,0.87,Dal,56.25639277,78,217,89.3,110.2
89,Damion Lee,PG,19,14,18.1,37.6,23.2,0.124,,,110,0.409,,,7.1,99.4,3.1,3.8,0.79,0.29,1.21,Phi,41.33399867,78,210,100.7,106.2
90,Damyean Dotson,SF,29,36,19.2,40,18.2,0.125,,,113,0.504,121,0.421,7.9,284.4,2.5,1.9,0.5,0.31,0.97,Mem,57.83308931,77,210,106,106.7
91,D'Angelo Russell,PG,21,48,25.7,53.5,30.8,0.168,131,0.74,394,0.477,278,0.324,15.5,744,3.9,5.2,0.75,0.35,3.06,Bro,50.98404693,77,195,97.8,106.4
92,Daniel Hamilton,SG,22,54,14.4,30,14,0.104,,,114,0.439,91,0.352,4,216,2.6,0.5,0.57,0.24,0.46,Mil,50.10205975,79,195,118.1,101.9
93,Daniel Theis,PF,25,63,14.9,30.9,15.5,0.172,81,0.753,175,0.617,58,0.31,5.3,333.9,4.3,0.9,0.48,0.76,0.89,Bos,62.14636689,81,243,117.3,87.2
94,Danilo Gallinari,SF,29,21,32,66.6,20.6,0.081,87,0.931,145,0.455,111,0.324,15.3,321.3,4.8,2,0.57,0.48,1.24,Lac,54.59086584,82,225,110.7,109.6
95,Danny Green,SG,30,70,25.6,53.3,16.6,0.112,65,0.769,241,0.419,320,0.363,8.6,602,3.6,1.6,0.9,1.14,1.06,San,51.05156038,78,215,100.5,101.2
96,Dante Cunningham,SF,30,73,21.41780822,44.62043379,11.74794521,0.074657534,52,0.596615385,196,0.540954082,168,0.345071429,5.753424658,420,4.101369863,0.650684932,0.536027397,0.409452055,0.448630137,Bro,54.28039703,80,230,110.5,106
97,Dante Exum,PG,22,14,16.8,34.9,23.1,0.166,31,0.806,69,0.536,,,8.1,113.4,1.9,3.1,0.57,0.21,1.43,Uta,56.33942766,78,190,110.1,99.4
98,Danuel House,SG,24,23,17.5,36.5,16.2,0.072,31,0.806,71,0.577,58,0.259,6.6,151.8,3.3,1.1,0.3,0.26,0.48,Pho,53.21088054,79,220,110.7,110.6
99,Dario Saric,PF,23,78,29.6,61.7,20.9,0.131,207,0.86,491,0.501,399,0.393,14.6,1138.8,6.7,2.6,0.65,0.26,1.9,Phi,58.03808048,82,223,113.1,102.3
100,Darius Miller,SF,27,82,23.7,49.4,12.8,0.101,67,0.866,129,0.535,358,0.411,7.8,639.6,2,1.4,0.34,0.21,0.71,Nor,61.91914498,80,225,115,106.5
101,Darrell Arthur,SG,27,38,18.6,38.7,13.7,0.089,,,119,0.546,78,0.282,5.5,209,1.5,1.1,0.82,0.34,0.53,Lac,51.21544795,81,235,89.6,97
102,Darren Collison,PG,30,69,29.3,60.9,17.4,0.109,144,0.882,433,0.508,205,0.468,12.4,855.6,2.6,5.3,1.33,0.22,1.25,Ind,60.99577963,74,185,126.2,106.7
103,Darrun Hilliard,PG,35,50,20.284,42.25833333,13.852,0.2097,,,120,0.449875,124,0.330919355,4.904,245.2,2.046,3.558,0.5356,0.0798,1.3378,Det,48.49683544,78,220,83.8,102.8
104,David Nwaba,PG,25,70,23.5,49,15.6,0.131,203,0.655,371,0.496,52,0.346,7.9,553,4.7,1.5,0.84,0.41,1.1,Chi,53.97017489,76,209,107.2,103.4
105,David Stockton,PG,25,53,10.5,21.9,18,0.116,,,120,0.458,66,0.379,3.9,206.7,1.2,0.7,0.26,0.02,0.49,Ind,51.99738378,71,165,,
106,David West,PF,37,73,13.7,28.5,21.7,0.162,79,0.759,370,0.576,,,6.8,496.4,3.3,1.9,0.64,1.03,1.1,Gol,60.13179572,81,250,113.6,97.5
107,Davis Bertans,PF,25,77,14.1,29.4,17.4,0.085,49,0.816,114,0.588,252,0.373,5.9,454.3,2,1,0.34,0.36,0.47,San,58.6102797,82,210,115.2,99.8
108,Davon Reed,PF,26,67,12,25,9.7,0.238,,,122,0.541,,,2.1,140.7,4.1,1.2,0.46,0.76,0.63,Det,52.20391808,78,210,79.8,107.9
109,De'Aaron Fox,PG,20,73,27.7,57.8,23.4,0.164,195,0.723,644,0.436,153,0.307,11.6,846.8,2.8,4.4,0.96,0.27,2.37,Sac,47.96103308,75,175,94.6,107.8
110,DeAndre' Bembry,SF,23,26,17.5,36.5,18.2,0.248,33,0.576,98,0.429,30,0.367,5.2,135.2,2.8,1.9,0.81,0.46,1.81,Atl,47.43193938,78,210,83.5,104
111,DeAndre Jordan,C,29,77,31.5,65.6,15.2,0.161,312,0.58,578,0.645,,,12,924,15.2,1.5,0.51,0.92,1.78,Lac,64.59009059,83,265,125,99.4
112,DeAndre Liggins,PG,23,25,23.3,48.5,19.3,0.14,,,124,0.419,91,0.385,8.8,220,2.8,4.5,1.04,0.36,1.44,Chi,49.54062331,78,209,88.2,100.2
113,Dejounte Murray,PG,21,81,21.5,44.8,20.7,0.166,148,0.709,575,0.454,34,0.265,8.1,656.1,5.7,2.9,1.2,0.38,1.65,San,48.66344271,77,170,99.1,95.6
114,Delon Wright,PG,25,69,20.8,43.3,17.2,0.139,117,0.829,278,0.522,154,0.364,8,552,2.9,2.9,1.04,0.48,1.13,Tor,57.08612559,77,190,116.2,103.9
115,DeMar DeRozan,SG,28,80,33.9,70.6,29.6,0.096,559,0.825,1125,0.494,287,0.31,23,1840,3.9,5.2,1.06,0.28,2.2,Tor,55.48987913,79,220,114.3,105.6
116,DeMarcus Cousins,C,27,48,36.2,75.4,31.9,0.189,394,0.746,570,0.53,294,0.354,25.2,1209.6,12.9,5.4,1.65,1.58,5.04,Nor,58.30184314,83,270,104.5,95.9
117,DeMarre Carroll,SF,31,73,29.9,62.2,19.8,0.103,246,0.764,394,0.457,391,0.371,13.5,985.5,6.6,2,0.81,0.41,1.41,Bro,55.16434553,80,215,109.3,105.3
118,Demetrius Jackson,SF,23,54,15.3,31.8,15.2,0.149,,,124,0.355,110,0.336,4,216,2.4,0.9,0.37,0.28,0.8,Chi,44.00260756,73,201,55.5,97.6
119,Dennis Schroder,PG,24,67,31,64.6,30.4,0.127,265,0.849,884,0.48,262,0.29,19.4,1299.8,3.1,6.2,1.07,0.09,2.73,Atl,51.47315064,73,172,104.2,108
120,Dennis Smith Jr.,PG,20,69,29.7,61.9,28.9,0.149,193,0.694,685,0.435,339,0.313,15.2,1048.8,3.8,5.2,1.03,0.26,2.81,Dal,47.28925441,75,195,93.7,105.3
121,Denzel Valentine,SG,24,77,27.2,56.7,17.5,0.118,51,0.745,351,0.45,370,0.386,10.2,785.4,5.1,3.2,0.84,0.14,1.29,Chi,52.82201657,78,214,104.6,104.2
122,Derrick Favors,PF,26,77,28,58.3,18.5,0.099,215,0.651,639,0.596,63,0.222,12.3,947.1,7.2,1.3,0.7,1.06,1.14,Uta,59.44639719,82,265,119.2,99.1
123,Derrick Jones Jr.,PF,24,36,10.5,21.9,22.5,0.076,,,128,0.422,43,0.326,4.8,172.8,2.6,0.4,0.22,0.17,0.42,Cha,47.47252747,79,200,140.6,111.8
124,Derrick Rose,PG,29,25,16.752,34.9,25.384,0.14044,46,0.869869565,156,0.473923077,30,0.2334,8.36,209,1.404,1.456,0.28,0.16,1.4008,Min,50.66912335,75,190,97.6,112.9
125,Derrick Walton Jr.,C,22,28,12.60714286,26.26488095,21.06428571,0.121428571,,,134,0.567134328,,,6.3,176.4,3.014285714,0.407142857,0.111428571,0.647142857,0.747857143,Bro,58.50358185,73,185,123.2,105.6
126,Derrick White,PG,24,33,22.4,46.7,17.5,0.108,,,148,0.514,104,0.442,9.5,313.5,2.5,2.7,0.36,0.03,0.97,Gol,59.60076046,76,190,123,101.8
